itinerario,endereco,referencia,horario
01 - Colina Do Pontal,R. aguas da Prata - Colina Do Pontal - Campo Limpo Pta,KJ Mini Mercado e Padaria,19:52
01 - Colina Do Pontal,R. Bauru - Colina Do Pontal - Campo Limpo Pta,Esquina com a Rua Descalvado,19:57
01 - Colina Do Pontal,R. Borborema - Colina Do Pontal - Campo Limpo Pta,Praca,20:00
01 - Colina Do Pontal,R. Joao Juliao Moreira - Vila Constanca - Campo Limpo Pta,Sorveteira Alegria,20:06
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Emeif Vereador Jose De Souza Charrua,20:08
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Escola de Missoes das Assembleias de Deus,20:09
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Esquina com a Rua Tito,20:10
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Esquina com a Rua Visconde de Taunay,20:12
01 - Colina Do Pontal,R. Italia - Jd. Europa - Campo Limpo Pta,Bar da Dalva,20:15
01 - Colina Do Pontal,R. Alemanha - Jd. Europa - Campo Limpo Pta,Esquina com a Rua Holanda,20:17
01 - Colina Do Pontal,R. Suica - Jd. Europa - Campo Limpo Pta,Esquina com a Rua Espanha,20:19
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Deposito de gas,20:20
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Condominio Los Angeles,20:23
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Mello Mercado,20:25
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Lanches Ignes,20:28
01 - Colina Do Pontal,Estr. Bragantina - Sao Jose 1 - Campo Limpo Pta,Padaria Brunella,20:30
01 - Colina Do Pontal,Estr. Bragantina - Jd. Santa Maria - Campo Limpo Pta,Padaria Santa Maria,20:31
01 - Colina Do Pontal,R. Dama da Noite - Pq. Internacional - Campo Limpo Pta,Assembleia de Deus Belem,20:32
01 - Colina Do Pontal,Av. Amazonas - Pq. Internacional - Campo Limpo Pta,Escola Georgina Helena Fortarel,20:33
01 - Colina Do Pontal,Estrada do Garcia - Jd. Marchetti - Campo Limpo Pta,Esquina com a Rua Antenor Tavares,20:34
01 - Colina Do Pontal,Avenida Alfried Krupp - Jd. Europa - Campo Limpo Pta,Hospital de Clinicas,20:35
01 - Colina Do Pontal,Av. dos Emancipadores - Centro - Campo Limpo Pta,Posto de Combustivel BR,20:36
01 - Colina Do Pontal,Av. Adherbal da Costa Moreira - Centro - Campo Limpo Pta,Lojas Cem,20:37
01 - Colina Do Pontal,R. Primeiro de Dezembro - Jd. Marsola - Campo Limpo Pta,Quadra de Areia,20:38
01 - Colina Do Pontal,Av. Adherbal da Costa Moreira - Centro - Campo Limpo Pta,Deposito Figueira Branca,20:40
01 - Colina Do Pontal,Rua Antonio Farina - Jd. America - Campo Limpo Pta,Deposito Figueira Branca (Lateral),20:41
01 - Colina Do Pontal,Av. Joao Amato - Jd. America - Campo Limpo Pta,So Piso,20:42
01 - Colina Do Pontal,Av. Marginal do Rio Jundiai - Jd. Paulista - Varzea Paulista,J W V Comercio,20:45
01 - Colina Do Pontal,Viaduto Emancipadores - Centro - Varzea Paulista,Sem Ponto,20:47
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Prefeitura de Varzea Paulista,20:50
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Habib's,20:52
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Ponto da Caedu,20:55
01 - Colina Do Pontal,Rua Varzea Paulista - Agapeama - Jundiai,Ricoy,21:00
01 - Colina Do Pontal,Rua Varzea Paulista - Agapeama - Jundiai,Rally Decoracoes,21:01
01 - Colina Do Pontal,R. Jose Maria Marinho - Vila Agricola - Jundiai,Amarati,21:02
01 - Colina Do Pontal,Av. Ferroviarios - Vila Arens - Jundiai,Terminal Vila Arens,21:03
01 - Colina Do Pontal,Rua 15 de Novembro - Vila Arens - Jundiai,Sem Ponto,21:04
01 - Colina Do Pontal,Rua Jose do Patrocinio - Vila Arens - Jundiai,Argos,21:04
01 - Colina Do Pontal,Rua Atilio Vianelo - Vianelo - Jundiai,Sem Ponto,21:04
01 - Colina Do Pontal,Rua da Saude - Vianelo - Jundiai,Igreja Jesus Cristo e o Senhor,21:05
01 - Colina Do Pontal,R. Baronesa do Japi - Centro - Jundiai,Sem Ponto,21:07
01 - Colina Do Pontal,R. Cel. Leme da Fonseca - Centro - Jundiai,Droga Raia,21:08
01 - Colina Do Pontal,Viaduto Avenida Jundiai - Anhangabau - Jundiai,Ponto de onibus Urbano,21:09
01 - Colina Do Pontal,Av. Jundiai - Anhangabau - Jundiai,Festa da Uva,21:10
01 - Colina Do Pontal,Marginal da Rod. Anhanguera - Retiro - Jundiai,Passarela Carrefour,21:12
01 - Colina Do Pontal,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiai,Sem Ponto,21:15
02 - Botujuru,R. Bela Vista - Botujuru - Campo Limpo Pta,Terminal Botujuru,20:00
02 - Botujuru,R. Bela Vista - Botujuru - Campo Limpo Pta,Estacao Ferroviaria de Botujuru,20:01
02 - Botujuru,Estr. Faustino Bizeto - Botujuru - Campo Limpo Pta,Lanchonete e sorveteria Maga,20:04
