itinerario,endereco,referencia,horario
01 - Colina Do Pontal,R. aguas da Prata - Colina Do Pontal - Campo Limpo Pta,KJ Mini Mercado e Padaria,3:55
01 - Colina Do Pontal,R. Bauru - Colina Do Pontal - Campo Limpo Pta,Esquina com a Rua Descalvado,4:00
01 - Colina Do Pontal,R. Borborema - Colina Do Pontal - Campo Limpo Pta,Praca,4:06
01 - Colina Do Pontal,R. Joao Juliao Moreira - Vila Constanca - Campo Limpo Pta,Sorveteira Alegria,4:07
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Emeif Vereador Jose De Souza Charrua,4:08
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Escola de Missoes das Assembleias de Deus,4:09
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Esquina com a Rua Tito,4:10
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Esquina com a Rua Visconde de Taunay,4:11
01 - Colina Do Pontal,R. Italia - Jd. Europa - Campo Limpo Pta,Bar da Dalva,4:12
01 - Colina Do Pontal,R. Alemanha - Jd. Europa - Campo Limpo Pta,Esquina com a Rua Holanda,4:13
01 - Colina Do Pontal,R. Suica - Jd. Europa - Campo Limpo Pta,Esquina com a Rua Espanha,4:14
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Deposito de gas,4:16
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Condominio Los Angeles,4:17
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Mello Mercado,4:18
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Lanches Ignes,4:19
01 - Colina Do Pontal,Estr. Bragantina - Sao Jose 1 - Campo Limpo Pta,Padaria Brunella,4:22
01 - Colina Do Pontal,Estr. Bragantina - Jd. Santa Maria - Campo Limpo Pta,Padaria Santa Maria,4:23
01 - Colina Do Pontal,R. Dama da Noite - Pq. Internacional - Campo Limpo Pta,Assembleia de Deus Belem,4:24
01 - Colina Do Pontal,Av. Amazonas - Pq. Internacional - Campo Limpo Pta,Escola Georgina Helena Fortarel,4:25
01 - Colina Do Pontal,Estrada do Garcia - Jd. Marchetti - Campo Limpo Pta,Esquina com a Rua Antenor Tavares,4:27
01 - Colina Do Pontal,Avenida Alfried Krupp - Jd. Europa - Campo Limpo Pta,Hospital de Clinicas,4:30
01 - Colina Do Pontal,Av. dos Emancipadores - Centro - Campo Limpo Pta,Posto de Combustivel BR,4:32
01 - Colina Do Pontal,Av. Adherbal da Costa Moreira - Centro - Campo Limpo Pta,Lojas Cem,4:34
01 - Colina Do Pontal,R. Primeiro de Dezembro - Jd. Marsola - Campo Limpo Pta,Quadra de Areia,4:37
01 - Colina Do Pontal,Av. Adherbal da Costa Moreira - Centro - Campo Limpo Pta,Deposito Figueira Branca,4:38
01 - Colina Do Pontal,Rua Antonio Farina - Jd. America - Campo Limpo Pta,Deposito Figueira Branca (Lateral),4:39
01 - Colina Do Pontal,Av. Joao Amato - Jd. America - Campo Limpo Pta,So Piso,4:40
01 - Colina Do Pontal,Av. Marginal do Rio Jundiai - Jd. Paulista - Varzea Paulista,J W V Comercio,4:45
01 - Colina Do Pontal,Viaduto Emancipadores - Centro - Varzea Paulista,Sem Ponto,4:47
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Prefeitura de Varzea Paulista,4:50
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Habib's,4:52
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Ponto da Caedu,4:54
01 - Colina Do Pontal,Rua Varzea Paulista - Agapeama - Jundiai,Ricoy,4:57
01 - Colina Do Pontal,Rua Varzea Paulista - Agapeama - Jundiai,Rally Decoracoes,4:58
01 - Colina Do Pontal,R. Jose Maria Marinho - Vila Agricola - Jundiai,Amarati,5:03
01 - Colina Do Pontal,Av. Ferroviarios - Vila Arens - Jundiai,Terminal Vila Arens,5:06
01 - Colina Do Pontal,Rua 15 de Novembro - Vila Arens - Jundiai,Sem Ponto,5:06
01 - Colina Do Pontal,Rua Jose do Patrocinio - Vila Arens - Jundiai,Argos,5:07
01 - Colina Do Pontal,Rua Atilio Vianelo - Vianelo - Jundiai,Sem Ponto,5:07
01 - Colina Do Pontal,Rua da Saude - Vianelo - Jundiai,Igreja Jesus Cristo e o Senhor,5:10
01 - Colina Do Pontal,R. Baronesa do Japi - Centro - Jundiai,Sem Ponto,5:10
01 - Colina Do Pontal,R. Cel. Leme da Fonseca - Centro - Jundiai,Droga Raia,5:11
01 - Colina Do Pontal,Viaduto Avenida Jundiai - Anhangabau - Jundiai,Ponto de onibus Urbano,5:13
01 - Colina Do Pontal,Av. Jundiai - Anhangabau - Jundiai,Festa da Uva,5:15
01 - Colina Do Pontal,Marginal da Rod. Anhanguera - Retiro - Jundiai,Passarela Carrefour,5:17
