itinerario,endereco,referencia,horario
08 - Jardim Laura,Av. Jose Rabelo Portela - Vila Marajo - Varzea Paulista,Centro Esportivo Marajo,12:27
08 - Jardim Laura,Rua Tanque Velho - Vila Iguacu - Varzea Paulista,Auto Posto CVT,12:30
08 - Jardim Laura,Rua Pindare - Pq. Guarani - Varzea Paulista,Igreja Catolica,12:32
08 - Jardim Laura,Av. Jose Rabelo Portela - Vila Popular - Varzea Paulista,Caixa D'agua,12:35
08 - Jardim Laura,Av. Jose Rabelo Portela - Vila Popular - Varzea Paulista,Paroquia Nossa Senhora de Lourdes,12:38
08 - Jardim Laura,Av. Padre Jordan - Jd. Bertioga - Varzea Paulista,E.E. Profa. Lavinia Ribeiro Aranha,12:43
08 - Jardim Laura,Av. das Lelias - Jd. Bahia - Varzea Paulista,Fabrica de Lajes,12:44
08 - Jardim Laura,Rod. Adail Eduardo Gut - Mursa - Varzea Paulista,Sindicato dos Metalurgicos,12:45
08 - Jardim Laura,Rod. Presidente Trancredo neves - Castanho - Jundiai,Motel Charleville,12:46
08 - Jardim Laura,Av. Francisco Napoleao Cid de Freitas - Santa Gertrudes - Jundiai,Posto de Gasolina Ipiranga,12:47
08 - Jardim Laura,Av. Leonice Gualda Nunes - Santa Gertrudes - Jundiai,Padaria Pao Nosso,12:51
08 - Jardim Laura,Rua Padre Norberto Mojola - Santa Gertrudes - Jundiai,Millennium Supermercados,12:55
08 - Jardim Laura,Rua Manoel Jose de Carvalho - Santa Gertrudes - Jundiai,Mercearia Lucena,12:56
08 - Jardim Laura,Rua Antonio Tacildo Vion - Santa Gertrudes - Jundiai,La Petite Burguer,12:57
08 - Jardim Laura,Rua Eduardo Povoa - Santa Gertrudes - Jundiai,KingBlue Multimarcas,12:58
08 - Jardim Laura,Rua Ricardo Cesar Favaro - Santa Gertrudes - Jundiai,Pneus P.H.K,13:00
08 - Jardim Laura,Av. Clemente Rosa - Vila Maringa - Jundiai,Agro Val Racoes,13:05
08 - Jardim Laura,Av. Antonio Barchetta - Jd. Copacabana - Jundiai,Ponto de onibus Urbano,13:07
08 - Jardim Laura,Rua Mauro Torres - Jd. Copacabana - Jundiai,Padaria Santa Clara,13:08
08 - Jardim Laura,Rua Alexandre Vacari - Vila Maringa - Jundiai,Coronel Cevada,13:09
08 - Jardim Laura,Rua Maringa - Vila Maringa - Jundiai,Jundia Portoes,13:10
08 - Jardim Laura,Marginal da Rod. Anhanguera - Vila Rami - Jundiai,Ponto de onibus Urbano (Vila Rami),13:14
08 - Jardim Laura,Marginal da Rod. Anhanguera - Vianelo - Jundiai,Ponto de onibus Urbano (Rua Uniao),13:15
08 - Jardim Laura,Rod. Anhanguera - Retiro - Jundiai,Passarela Carrefour,13:19
08 - Jardim Laura,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiai,Sem Ponto,13:22
Campinas,Av. Joao Jorge - Campinas,Bradesco Dia e Noite,12:50
Campinas,Av. Prestes Maia - Campinas,Ponto em frente Posto Trevo,12:55
